"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Age of Mother"	"Age of Mother Code"	"Marital Status"	"Marital Status Code"	"Education"	"Education Code"	Births
	"2003"	"2003"	"January"	"1"	"Under 15 years"	"15"	"Married"	"1"	"0 -  8 years"	"19176"	17
	"2003"	"2003"	"January"	"1"	"Under 15 years"	"15"	"Married"	"1"	"9 - 11 years"	"19177"	2
	"2003"	"2003"	"January"	"1"	"Under 15 years"	"15"	"Unmarried"	"2"	"0 -  8 years"	"19176"	433
	"2003"	"2003"	"January"	"1"	"Under 15 years"	"15"	"Unmarried"	"2"	"9 - 11 years"	"19177"	93
	"2003"	"2003"	"January"	"1"	"Under 15 years"	"15"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	18
	"2003"	"2003"	"January"	"1"	"Under 15 years"	"15"	"Unmarried"	"2"	"Excluded"	"999"	30
	"2003"	"2003"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"0 -  8 years"	"19176"	708
	"2003"	"2003"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"9 - 11 years"	"19177"	2538
	"2003"	"2003"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"12 years"	"19178"	2538
	"2003"	"2003"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"13 - 15 years"	"19179"	431
	"2003"	"2003"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	96
	"2003"	"2003"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"Excluded"	"999"	215
	"2003"	"2003"	"January"	"1"	"15-19 years"	"15-19"	"Unmarried"	"2"	"0 -  8 years"	"19176"	2128
	"2003"	"2003"	"January"	"1"	"15-19 years"	"15-19"	"Unmarried"	"2"	"9 - 11 years"	"19177"	14444
	"2003"	"2003"	"January"	"1"	"15-19 years"	"15-19"	"Unmarried"	"2"	"12 years"	"19178"	8644
	"2003"	"2003"	"January"	"1"	"15-19 years"	"15-19"	"Unmarried"	"2"	"13 - 15 years"	"19179"	1339
	"2003"	"2003"	"January"	"1"	"15-19 years"	"15-19"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	431
	"2003"	"2003"	"January"	"1"	"15-19 years"	"15-19"	"Unmarried"	"2"	"Excluded"	"999"	1416
	"2003"	"2003"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"0 -  8 years"	"19176"	2581
	"2003"	"2003"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"9 - 11 years"	"19177"	6058
	"2003"	"2003"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"12 years"	"19178"	15818
	"2003"	"2003"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"13 - 15 years"	"19179"	9400
	"2003"	"2003"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"16 years and over"	"16+"	3187
	"2003"	"2003"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"Not stated/Not on certificate"	"NR"	499
	"2003"	"2003"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"Excluded"	"999"	1869
	"2003"	"2003"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"0 -  8 years"	"19176"	2720
	"2003"	"2003"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"9 - 11 years"	"19177"	11113
	"2003"	"2003"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"12 years"	"19178"	19059
	"2003"	"2003"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"13 - 15 years"	"19179"	8256
	"2003"	"2003"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"16 years and over"	"16+"	1152
	"2003"	"2003"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Not stated/Not on certificate"	"NR"	663
	"2003"	"2003"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Excluded"	"999"	2339
	"2003"	"2003"	"January"	"1"	"25-29 years"	"25-29"	"Married"	"1"	"0 -  8 years"	"19176"	3057
	"2003"	"2003"	"January"	"1"	"25-29 years"	"25-29"	"Married"	"1"	"9 - 11 years"	"19177"	4346
	"2003"	"2003"	"January"	"1"	"25-29 years"	"25-29"	"Married"	"1"	"12 years"	"19178"	15516
