"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Age of Mother"	"Age of Mother Code"	"Marital Status"	"Marital Status Code"	"Education"	"Education Code"	Births
	"2007"	"2007"	"January"	"1"	"Under 15 years"	"15"	"Married"	"1"	"8th grade or less"	"1"	4
	"2007"	"2007"	"January"	"1"	"Under 15 years"	"15"	"Married"	"1"	"Excluded"	"999"	2
	"2007"	"2007"	"January"	"1"	"Under 15 years"	"15"	"Unmarried"	"2"	"8th grade or less"	"1"	184
	"2007"	"2007"	"January"	"1"	"Under 15 years"	"15"	"Unmarried"	"2"	"9th through 12th grade with no diploma"	"2"	91
	"2007"	"2007"	"January"	"1"	"Under 15 years"	"15"	"Unmarried"	"2"	"Unknown/Not on certificate"	"Unk"	5
	"2007"	"2007"	"January"	"1"	"Under 15 years"	"15"	"Unmarried"	"2"	"Excluded"	"999"	256
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"8th grade or less"	"1"	301
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"9th through 12th grade with no diploma"	"2"	1295
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"High school graduate or GED completed"	"3"	1211
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"Some college credit, but not a degree"	"4"	374
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"Associate degree (AA, AS)"	"5"	15
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"Bachelor's degree (BA, AB, BS)"	"6"	2
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"Master's degree (MA, MS)"	"7"	1
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"Unknown/Not on certificate"	"Unk"	49
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Married"	"1"	"Excluded"	"999"	2370
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Unmarried"	"2"	"8th grade or less"	"1"	1115
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Unmarried"	"2"	"9th through 12th grade with no diploma"	"2"	9414
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Unmarried"	"2"	"High school graduate or GED completed"	"3"	5135
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Unmarried"	"2"	"Some college credit, but not a degree"	"4"	1413
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Unmarried"	"2"	"Associate degree (AA, AS)"	"5"	35
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Unmarried"	"2"	"Bachelor's degree (BA, AB, BS)"	"6"	1
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Unmarried"	"2"	"Unknown/Not on certificate"	"Unk"	272
	"2007"	"2007"	"January"	"1"	"15-19 years"	"15-19"	"Unmarried"	"2"	"Excluded"	"999"	15030
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"8th grade or less"	"1"	1401
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"9th through 12th grade with no diploma"	"2"	3242
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"High school graduate or GED completed"	"3"	7100
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"Some college credit, but not a degree"	"4"	5208
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"Associate degree (AA, AS)"	"5"	1247
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"Bachelor's degree (BA, AB, BS)"	"6"	1252
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"Master's degree (MA, MS)"	"7"	96
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	17
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"Unknown/Not on certificate"	"Unk"	436
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Married"	"1"	"Excluded"	"999"	16642
